,Most Recent Health Inspection More Than 2 Years Ago,Overall Rating,Health Inspection Rating,Staffing Rating,RN Staffing Rating,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,performance_id
0,False,1.0,1.0,3.0,4.0,48.667,0,3,1,$6045.00,0,1,0
1,False,5.0,4.0,4.0,4.0,15.333,0,0,0,$0.00,0,0,1
2,False,4.0,3.0,5.0,5.0,25.333,0,3,1,$189763.00,0,1,2
3,False,4.0,4.0,4.0,3.0,13.333,0,0,0,$0.00,0,0,3
4,False,2.0,2.0,3.0,3.0,32.667,0,0,0,$0.00,0,0,4
5,False,2.0,1.0,4.0,4.0,52.0,0,1,0,$0.00,0,0,5
6,False,5.0,4.0,2.0,1.0,14.667,0,0,0,$0.00,0,0,6
7,False,5.0,5.0,4.0,4.0,5.333,0,0,0,$0.00,0,0,7
8,False,5.0,3.0,5.0,5.0,23.333,0,1,0,$0.00,0,0,8
9,False,3.0,2.0,4.0,4.0,44.667,0,2,1,$6500.00,0,1,9
10,False,4.0,2.0,5.0,5.0,30.0,0,1,0,$0.00,0,0,10
11,False,3.0,2.0,2.0,3.0,32.667,0,0,0,$0.00,0,0,11
12,False,4.0,4.0,2.0,3.0,17.333,0,0,0,$0.00,0,0,12
13,False,3.0,2.0,5.0,5.0,40.667,0,2,1,$4100.00,0,1,13
14,False,4.0,4.0,3.0,2.0,19.333,0,0,0,$0.00,0,0,14
15,False,1.0,1.0,3.0,2.0,263.0,0,0,1,$183105.00,1,2,15
16,False,5.0,5.0,4.0,3.0,10.667,0,0,0,$0.00,0,0,16
17,False,1.0,2.0,1.0,2.0,34.667,0,1,0,$0.00,0,0,17
18,False,5.0,4.0,5.0,5.0,15.333,0,0,1,$3640.00,0,1,18
19,False,5.0,3.0,4.0,4.0,23.333,0,5,0,$0.00,0,0,19
20,False,1.0,1.0,3.0,4.0,72.667,0,4,1,$44400.00,0,1,20
21,False,5.0,5.0,3.0,2.0,10.667,0,0,0,$0.00,0,0,21
22,False,3.0,2.0,4.0,4.0,36.667,0,0,0,$0.00,0,0,22
23,False,4.0,4.0,3.0,2.0,18.0,0,0,0,$0.00,0,0,23
24,False,3.0,2.0,3.0,2.0,44.667,0,4,0,$0.00,0,0,24
25,False,3.0,2.0,4.0,3.0,38.0,0,1,0,$0.00,0,0,25
26,False,1.0,1.0,3.0,2.0,63.333,0,0,0,$0.00,0,0,26
27,False,2.0,2.0,4.0,4.0,36.667,0,1,0,$0.00,0,0,27
28,False,2.0,2.0,4.0,3.0,33.167,0,0,1,$52343.00,0,1,28
29,False,5.0,5.0,4.0,4.0,12.0,0,0,0,$0.00,0,0,29
30,False,4.0,4.0,1.0,1.0,20.667,0,0,0,$0.00,0,0,30
31,False,5.0,5.0,,,14.667,0,0,0,$0.00,0,0,31
32,False,5.0,5.0,4.0,4.0,10.667,0,0,0,$0.00,0,0,32
33,False,5.0,5.0,5.0,5.0,12.667,0,2,0,$0.00,0,0,33
34,False,2.0,1.0,4.0,4.0,102.667,0,19,1,$2560.00,0,1,34
35,False,4.0,4.0,4.0,5.0,38.0,0,0,0,$0.00,0,0,35
36,False,3.0,3.0,3.0,5.0,48.667,0,4,0,$0.00,0,0,36
37,False,5.0,3.0,4.0,5.0,51.333,0,8,0,$0.00,0,0,37
38,False,3.0,2.0,5.0,5.0,80.667,1,4,0,$0.00,0,0,38
39,False,5.0,4.0,4.0,4.0,18.0,0,0,0,$0.00,0,0,39
40,False,1.0,2.0,3.0,3.0,46.667,0,7,0,$0.00,0,0,40
41,False,4.0,2.0,5.0,5.0,32.667,0,0,0,$0.00,0,0,41
42,False,5.0,4.0,4.0,4.0,21.333,0,0,0,$0.00,0,0,42
43,False,1.0,1.0,1.0,1.0,63.333,0,5,1,$6240.00,0,1,43
44,False,5.0,3.0,4.0,4.0,11.333,0,0,0,$0.00,0,0,44
45,False,2.0,3.0,1.0,1.0,16.667,0,0,0,$0.00,0,0,45
46,False,5.0,5.0,3.0,3.0,0.0,0,0,0,$0.00,0,0,46
47,False,5.0,5.0,5.0,5.0,12.0,0,0,0,$0.00,0,0,47
48,False,4.0,3.0,5.0,5.0,23.333,1,0,0,$0.00,0,0,48
49,False,3.0,2.0,4.0,5.0,50.667,11,6,1,$4095.00,0,1,49
50,False,2.0,1.0,4.0,4.0,111.667,8,10,2,$45143.00,0,2,50
51,False,3.0,4.0,1.0,2.0,19.333,1,0,0,$0.00,0,0,51
52,False,2.0,3.0,3.0,3.0,30.0,3,0,0,$0.00,0,0,52
53,False,4.0,3.0,2.0,1.0,21.333,0,1,0,$0.00,0,0,53
