,Provider State,Provider Zip Code
0,AL,35601
1,AL,36083
2,AL,35502
3,AL,36518
4,AL,35550
5,AL,35801
6,AL,35553
7,AL,35442
8,AL,35622
9,AL,36607
10,AL,35160
11,AL,35121
12,AL,36904
13,AL,35950
14,AL,35570
15,AL,36853
16,AL,36604
17,AL,36613
18,AL,36033
19,AL,35904
20,AL,35125
21,AL,36272
22,AL,36801
23,AL,36037
24,AL,35010
25,AL,36360
26,AL,35042
27,AL,36460
28,AL,36608
29,AL,36420
30,AL,36110
31,CO,80501
32,CO,80919
33,CO,80004
34,CO,80211
35,CO,80228
36,CO,80904
37,CO,80120
38,CO,81650
39,FL,32092
40,FL,34442
41,FL,34236
42,FL,33025
43,GA,30471
44,GA,30041
45,GA,31407
46,MA,1902
47,KS,66725
48,IA,51346
49,IA,51334
50,IA,51566
51,IA,51529
52,IA,51025
53,IA,50436
54,IA,51246
55,IA,52241
56,IA,52627
57,IA,50638
58,IA,51237
59,IA,50616
60,IA,52172
61,IA,52625
62,IA,50112
63,IA,52151
64,IA,50021
65,MN,55804
66,IA,50674
67,IA,52742
68,IA,52632
69,KS,66762
70,IA,52537
71,NY,10924
72,KS,66002
73,KS,66044
74,KS,66524
75,KS,67502
76,KS,66502
77,KS,66614
78,KS,67439
79,KS,67361
80,KS,66043
81,KS,66111
82,KS,66739
83,KS,67665
84,KS,67530
85,KS,67045
86,KS,67337
87,KS,67039
88,KS,67052
89,OH,45891
90,KS,66757
91,KS,66060
92,KS,67601
93,KS,67901
94,KS,66066
95,KS,66067
96,KS,67548
97,KS,67801
98,KS,67730
99,KS,66763
100,KS,67505
101,KS,67063
102,KS,66533
103,OR,97405
105,KS,67029
106,KS,67156
107,KY,41075
108,KY,42071
109,KY,40743
110,KY,40205
111,KY,40218
112,KY,41822
113,KY,41653
114,KY,40004
115,KY,42167
116,KY,42240
117,KY,41522
118,KY,42141
119,KY,42029
120,KY,42303
121,KY,40245
122,KY,41101
123,LA,70806
124,LA,70748
125,LA,71291
126,LA,70458
127,LA,70121
128,LA,70128
129,LA,70461
130,LA,71334
131,LA,70068
132,LA,70071
133,LA,70003
135,LA,71449
136,LA,70570
137,LA,70301
138,LA,70072
139,LA,70764
140,LA,71106
141,LA,71203
143,LA,70811
144,LA,71295
145,LA,70538
147,LA,71360
148,LA,71232
149,LA,71263
150,LA,71222
151,LA,71269
152,LA,71118
153,LA,70808
155,LA,70601
156,LA,70119
158,LA,70663
159,LA,70392
160,PA,19035
161,ME,4938
162,MD,21550
163,ME,4943
164,ME,4210
165,ME,4649
166,ME,4364
167,ME,4743
168,MD,20815
169,MD,21211
170,MD,21212
171,MD,21215
172,MD,20850
173,MD,21802
174,MD,21157
175,MD,21851
176,MD,21222
177,MD,20744
178,MD,21784
179,MD,20782
180,MD,21713
181,MD,20906
182,MD,20735
183,MD,21224
184,MD,20854
185,MD,21228
186,MD,21853
187,MD,21220
188,MD,20721
189,MD,21050
190,MD,21911
193,MD,20783
194,MD,21613
195,MD,21701
196,MD,21133
